ParticipantID,SceneName,D0_Dis,D0_Den,D1_Dis,D1_Den,Dis(comparison),Den(comparison),Position,SelectedDoor,ReactTime
10,4Dis_den_4.6_7I5.6_3,4.6,7,5.6,3,6,1,0,0,2.132
10,2Dis_den_V_6_7I5.6_3,6,7,5.6,3,3,1,1,1,1.897
10,3Dis_den_V_4.6_7I6_3,4.6,7,6,3,7,1,1,1,1.556
10,3Dis_den_5.6_7I5.6_3,5.6,7,5.6,3,4,1,0,0,1.532
10,2Dis_den_V_5.6_7I6_7,5.6,7,6,7,5,2,1,0,1.867
10,3Dis_den_V_5.6_3I6_3,5.6,3,6,3,5,2,1,1,1.604
10,Dis_den_V_4.6_3I4.6_7,4.6,3,4.6,7,4,3,1,1,1.872
10,5Dis_den_V_4.6_3I4.6_7,4.6,3,4.6,7,4,3,1,1,1.991
10,2Dis_den_6_7I5.6_3,6,7,5.6,3,3,1,0,0,1.611
10,Dis_den_4.6_7I6_7,4.6,7,6,7,7,2,0,0,1.666
10,2Dis_den_V_4.6_3I5.6_3,4.6,3,5.6,3,6,2,1,1,1.628
10,5Dis_den_V_5.6_7I5.6_3,5.6,7,5.6,3,4,1,1,0,2.211
10,3Dis_den_V_4.6_7I5.6_7,4.6,7,5.6,7,6,2,1,1,1.581
10,5Dis_den_6_7I4.6_3,6,7,4.6,3,1,1,0,1,1.681
10,3Dis_den_4.6_3I6_3,4.6,3,6,3,7,2,0,0,2.256
10,5Dis_den_4.6_3I5.6_3,4.6,3,5.6,3,6,2,0,0,1.549
10,Dis_den_V_5.6_7I6_7,5.6,7,6,7,5,2,1,1,1.673
10,2Dis_den_5.6_7I6_7,5.6,7,6,7,5,2,0,0,1.675
10,4Dis_den_V_6_3I6_7,6,3,6,7,4,3,1,1,1.834
10,5Dis_den_V_4.6_7I6_7,4.6,7,6,7,7,2,1,0,1.989
10,4Dis_den_V_4.6_3I6_3,4.6,3,6,3,7,2,1,0,1.814
10,4Dis_den_4.6_7I6_7,4.6,7,6,7,7,2,0,1,2.041
10,2Dis_den_V_4.6_7I5.6_7,4.6,7,5.6,7,6,2,1,0,2.177
10,2Dis_den_V_4.6_3I6_3,4.6,3,6,3,7,2,1,0,1.634
10,5Dis_den_V_5.6_7I6_3,5.6,7,6,3,5,1,1,1,1.476
10,5Dis_den_V_4.6_7I6_3,4.6,7,6,3,7,1,1,1,1.927
10,3Dis_den_4.6_3I4.6_7,4.6,3,4.6,7,4,3,0,0,1.763
10,2Dis_den_4.6_3I4.6_7,4.6,3,4.6,7,4,3,0,0,1.413
10,4Dis_den_4.6_3I6_3,4.6,3,6,3,7,2,0,1,1.481
10,4Dis_den_V_4.6_7I6_3,4.6,7,6,3,7,1,1,1,2.007
10,4Dis_den_V_4.6_7I6_7,4.6,7,6,7,7,2,1,0,1.992
10,5Dis_den_5.6_7I4.6_3,5.6,7,4.6,3,2,1,0,1,1.912
10,4Dis_den_5.6_3I6_3,5.6,3,6,3,5,2,0,0,1.319
